MicroColony_ID;Treatment;OriginColony_name;Time;Event
t;Roundup ProActive;Colony 3;20;1
u;Roundup ProActive;Colony 3;1440;1
v;Roundup ProActive;Colony 3;1440;1
w;Roundup ProActive;Colony 3;1440;1
x;Roundup ProActive;Colony 3;1440;1
y;Roundup ProActive;Colony 3;1440;0
z;Roundup ProActive;Colony 3;0;1
a;Roundup ProActive;Colony 3;0;1
b;Roundup ProActive;Colony 3;1440;1
c;Roundup ProActive;Colony 3;1440;0
d;Roundup ProActive;Colony 3;1440;0
e;Roundup ProActive;Colony 3;1440;0
;;;;
;;;;
