country;pro_kopf_gdp_2018;co2_per_person;rate_angestellt_frauen;rate_angestellt_maenner;lebenserwartung;kindersterblichkeit_0_5_pro_1000;kinder_pro_frau
Somalia;1100;0.0466;19.1;64.3;57.9;122;6.08
South Africa;14000;8.1;35.1;47;64.4;33.8;2.4
South Korea;42000;12.9;51.3;70;82.9;3.19;1.33
South Sudan;844;0.171;61.4;65.8;63;98.6;4.7
Spain;40300;5.75;43.1;55.1;83.1;3.03;1.39
Sri Lanka;13800;1.1;31.3;72.2;77.2;7.44;2.02
St. Lucia;15600;2.31;53.6;64.8;75.1;16.6;1.44
St. Vincent and the Grenadines;14100;2.03;47.4;61.8;72.8;16.4;1.89
Sudan;4350;0.504;20.7;60.4;70.1;60.5;4.41
Suriname;18400;3.1;35;61.4;72.6;18.9;2.32
Sweden;52300;4.12;57.4;63.3;82.7;2.71;1.91
Switzerland;70600;4.33;59.7;70.8;83.9;4.12;1.55
Syria;6900;1.67;11.7;69.9;73.2;16.7;2.82
Taiwan;49800;11.6;49.3;64.8;80.2;4.56;1.22
Tajikistan;3410;0.603;28.4;47;69.2;34.8;3.27
Tanzania;2510;0.222;77.7;86.2;66.7;53;4.89
Thailand;17700;4.15;59;75.7;78.3;9.1;1.45
Timor-Leste;3070;0.412;58.1;70.3;70.5;45.8;5.28
Togo;2020;0.434;54.6;59;64.5;69.8;4.32
Tonga;6290;1.31;36.8;54.5;72.9;15.6;3.56
Trinidad and Tobago;25500;31.3;48.7;68.6;74.8;18.3;1.73
Tunisia;11000;2.73;19.4;60.3;77.5;17;2.15
Turkey;28200;5.2;29.4;65.8;78.1;10.6;2.02
Turkmenistan;14300;13.7;43.7;68.7;70.6;45.8;2.79
UAE;71600;21.4;49.1;92;73.7;7.59;1.72
Uganda;2190;0.135;65.4;73;65.7;46.4;5.41
UK;46900;5.65;55.3;65.4;81;4.26;1.87
Ukraine;12300;5.09;43.5;56.9;73.9;8.73;1.56
Uruguay;23200;2.01;49.8;68.2;77.5;7.58;1.97
USA;61400;16.6;54.2;65.8;79;6.53;1.9
Uzbekistan;7080;2.81;46.4;70.8;68.1;21.4;2.23
Vanuatu;3050;0.529;60.1;77.4;65.3;26.4;3.2
Venezuela;10400;4.81;41.6;71;75.4;24.5;2.27
Vietnam;9640;2.16;72.3;81.5;74.3;20.7;1.95
Yemen;2120;0.356;4.49;61.9;66.1;55;3.79
Zambia;3430;0.302;61;70.6;62.5;57.8;4.87
Zimbabwe;2400;0.85;73.7;85;60.6;46.2;3.61
